Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Cameroon,CMR,"Population, total",SP.POP.TOTL,12070359,15927713,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014,..
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.97141328002089,2.63016560567152,2.56036542166637,2.5534941817746,2.5478060054317,2.54323084363269,2.53864174760077,2.53383207092297,2.52674162262418,2.51515321517122,2.49811030629492,..
Cameroon,CMR,Surface area (sq. km),AG.SRF.TOTL.K2,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,..
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,25.5343847179032,33.6944701825644,39.3414757462292,40.3589938863151,41.4004738634681,42.4668866747054,43.5587696473525,44.6765776057202,45.8198218781071,46.9868756743035,48.1754437181359,..
Cameroon,CMR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,39.9,..,..,..,..,..,..,..,..
Cameroon,CMR,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,..,..,..,27.61,..,..,..,..,..,..,..,..
Cameroon,CMR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,11128471585.3368,9488576091.87603,17778893130.3909,18975315357.5375,21420579841.4727,23373557298.3826,24114013136.9332,25458631434.1692,26537713464.4657,28630182576.6511,30911385953.2208,..
Cameroon,CMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,920,600,960,990,1090,1160,1170,1210,1230,1290,1360,..
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,20671449887.1702,28408994644.5339,42902783140.9713,44996475446.6544,47531241992.3358,49454953885.5889,51367270049.9739,54586089571.7222,57797020374.3964,61660984144.3545,67058706761.4138,..
Cameroon,CMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1710,1780,2310,2360,2430,2460,2490,2580,2670,2780,2940,..
Cameroon,CMR,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,6.35,..,..,..,..,..,..,..,..
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.5912682926829,51.9358780487805,52.150243902439,52.4791463414634,52.8558292682927,53.2648536585366,53.6948292682927,54.1373658536585,54.587512195122,55.0418048780488,..,..
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.434,5.621,5.299,5.235,5.167,5.094,5.017,4.939,4.859,4.78,..,..
Cameroon,CMR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,183.1988,155.7352,134.8048,130.721,127.7446,124.7682,121.7918,118.8154,115.839,111.346,106.853,..
Cameroon,CMR,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,..,25.6,29.2,..,..,..,..,23.4,..,..,..,..
Cameroon,CMR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,60,63,..,..,..,..,63.6,..,..,..,..
Cameroon,CMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,138,150.4,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9
Cameroon,CMR,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,16.6,..,..,..,..,15.1,..,..,..,..
Cameroon,CMR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,56,49,73,74,80,74,79,76,82,83,80,..
Cameroon,CMR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,55.57646,48.7043609619141,49.4900588989258,52.6189308166504,68.0025634765625,67.7459716796875,69.7566070556641,69.0603713989258,72.8454513549805,..,72.0226364135742,..
Cameroon,CMR,"School enrollment, primary (% gross)",SE.PRM.ENRR,97.31208,83.1453475952148,99.2547607421875,101.226707458496,101.54029083252,103.7421875,106.038429260254,105.732986450195,110.615028381348,..,113.321762084961,..
Cameroon,CMR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,25.45207,27.2960205078125,23.15625,31.7385292053223,35.9075698852539,39.5872611999512,..,47.1884918212891,50.3778686523438,52.2024192810059,..,..
Cameroon,CMR,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.8213,..,0.827740013599396,0.837710022926331,0.842429995536804,0.856199979782104,..,0.861549973487854,0.869279980659485,..,..,..
