Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,56397273,68334905,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909,89579670,..
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,2.4434434411602,1.80447570394784,1.76198410376974,1.73002151572467,1.75094818744719,1.83963812909643,1.96771142660023,2.1066381794963,2.21110711674198,2.25432617430608,2.2188633037184,..
"Egypt, Arab Rep.",EGY,Surface area (sq. km),AG.SRF.TOTL.K2,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,..
"Egypt, Arab Rep.",EGY,Population density (people per sq. km of land area),EN.POP.DNST,56.6550534933949,68.6472499874429,76.6229192827364,77.9600452056859,79.3371058315335,80.8101290873474,82.4159867396655,84.1706102767592,86.0524406047516,88.0143744035361,89.9891204982671,..
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,16.7,..,..,..,21.6,..,25.2,..,..,..,..
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,4.46,1.81,..,..,1.68,..,..,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,42479445609.7982,97275155878.4351,101664618946.926,120047288476.58,146922061283.494,172114192438.534,196205845256.294,216766786107.425,240323646395.547,257341626663.345,273120184323.388,..
"Egypt, Arab Rep.",EGY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,750,1420,1330,1550,1860,2140,2390,2590,2810,2940,3050,..
"Egypt, Arab Rep.",EGY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,213599683351.598,413098789477.067,605193531172.691,668039844251.728,729374626232.206,763592728579.043,795795601593.238,822210899215.793,856220071287.19,884903507795.172,919249039162.158,..
"Egypt, Arab Rep.",EGY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3790,6050,7930,8610,9240,9490,9700,9810,10000,10100,10260,..
