Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Sweden,SWE,"Population, total",SP.POP.TOTL,8558835,8872109,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9689555,..
Sweden,SWE,Population growth (annual %),SP.POP.GROW,0.772602675661167,0.160575484575313,0.562483906481893,0.741552514625445,0.779033290770134,0.851904412936677,0.852524628765313,0.755150133665177,0.739763272434863,0.847348652246305,0.924592435436623,..
Sweden,SWE,Surface area (sq. km),AG.SRF.TOTL.K2,450300,450300,450300,450300,450300,450300,450300,450300,447420,447420,447420,..
Sweden,SWE,Population density (people per sq. km of land area),EN.POP.DNST,20.8579105132329,21.6213603353317,22.1292221084954,22.2939318613832,22.4682872739679,22.6605132329288,22.8545255154262,23.027764780426,23.3696027888251,23.5684661462169,23.7873889134384,..
Sweden,SWE,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,237620745542.94,276993278201.071,441742787070.113,477456598612.127,512644756590.454,482628015635.484,504642181598.502,529298392161.022,557823369304.825,592833629103.501,596878096455.346,..
Sweden,SWE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,27760,31220,48650,52190,55600,51900,53810,56020,58600,61750,61600,..
Sweden,SWE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,170208952394.098,260737862002.059,349460822840.689,384276090061.999,401798366315.237,378339309928.948,402104007974.103,424807690765.463,430609494146.526,444141868193.879,452579680827.504,..
Sweden,SWE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19890,29390,38480,42010,43580,40690,42880,44960,45240,46260,46710,..
Sweden,SWE,Income share held by lowest 20%,SI.DST.FRST.20,..,9.12,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.5368292682927,79.6439024390244,80.7487804878049,80.9,81.1,81.3512195121951,81.4512195121951,81.8024390243903,81.7048780487805,81.7048780487805,..,..
Sweden,SWE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.13,1.54,1.85,1.88,1.91,1.94,1.98,1.9,1.91,1.91,..,..
Sweden,SWE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,11.5296,6.7206,6.0878,6.012,5.9024,5.7928,5.6832,5.5736,5.464,5.541,5.618,..
Sweden,SWE,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.9,4.1,3.4,3.3,3.2,3.1,3.1,3,3,3,3,3
Sweden,SWE,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,91,97,96,96,97,97,97,97,97,97,..
Sweden,SWE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,96.52425,99.5920715332031,95.6782836914063,95.072151184082,94.2190322875977,93.1426086425781,96.7043228149414,101.518493652344,102.204986572266,101.527603149414,..,..
Sweden,SWE,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.55689,109.656700134277,95.7123489379883,96.7051162719727,98.6930999755859,99.8794708251953,101.448539733887,100.501556396484,101.537147521973,119.718452453613,..,..
Sweden,SWE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,89.71539,151.907745361328,103.63069152832,102.611251831055,101.523933410645,99.6041412353516,98.1208419799805,96.9110412597656,98.3752670288086,128.781234741211,..,..
Sweden,SWE,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.02288,1.15213000774384,0.99633002281189,0.994809985160828,0.994350016117096,0.993780016899109,0.992200016975403,0.99251002073288,0.989889979362488,1.0925600528717,..,..
