Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
United States,USA,"Population, total",SP.POP.TOTL,249623000,282162411,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056,..
United States,USA,Population growth (annual %),SP.POP.GROW,1.12965052045579,1.11276899679534,0.964253917136075,0.951055242772428,0.945865287282592,0.876651298802912,0.836054311839923,0.764677599367843,0.763927409799426,0.756558207855926,0.742746143848123,..
United States,USA,Surface area (sq. km),AG.SRF.TOTL.K2,9629090,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,..
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,27.2545136128993,30.7973013298523,32.5673998463204,32.8786113609374,33.2436868537795,33.5363992251367,33.8179570851672,34.0775466743628,34.3388712882977,34.5996500652643,34.8575943818038,..
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,6029513145011.21,10178540746227.2,14345595388492.1,14651188047435.2,15002434296131.4,14740620722417.7,15143104200162.7,15727292808275.9,16504611074723.6,17113833339939.3,17601118634803.8,..
United States,USA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24150,36070,48080,48640,49330,48050,48950,50450,52540,54070,55200,..
United States,USA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5922900000000,10421300000000,14140800000000,14585700000000,14791200000000,14494500000000,15121100000000,15802900000000,16599700000000,17204300000000,17812700000000,..
United States,USA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23730,36930,47390,48420,48640,47250,48880,50700,52850,54360,55860,..
United States,USA,Income share held by lowest 20%,SI.DST.FRST.20,..,5.35,..,4.63,..,..,4.7,..,..,..,..,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.2146341463415,76.6365853658537,77.5878048780488,77.8390243902439,77.9390243902439,78.090243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.8414634146341,..,..
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.081,2.056,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8695,..,..
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,57.0788,46.4526,40.3754,39.669,37.7398,35.8106,33.8814,31.9522,30.023,27.0666,24.1102,..
United States,USA,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,70.7,..,..,..,78.6,..,76.4,..,..,..,..,..
United States,USA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,11.2,8.4,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9,6.7,6.5
United States,USA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,0.8,..,..,0.5,..,..,..
United States,USA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,91,92,92,92,90,92,92,92,91,91,..
United States,USA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,104.20099,101.497337341309,100.446098327637,101.622413635254,102.206199645996,101.166282653809,99.4575729370117,98.7802276611328,98.1303100585938,97.9380187988281,..,..
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,90.58364,92.3247985839844,94.4340209960938,95.0401382446289,94.8912811279297,94.3017501831055,93.1875991821289,93.5501708984375,93.6739501953125,93.9821319580078,..,..
United States,USA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.99607,0.99879002571106,1.00212001800537,1.00234997272491,0.998860001564026,1.00907003879547,1.00021004676819,1.00418996810913,0.993770003318787,0.994920015335083,..,..
United States,USA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,2963350,3001950,3024908,3028736,3032564,3036392,3040220,3044048,3047876,..,..,..
United States,USA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,14.3819241938696,14.9390240637227,13.6047068487254,13.6047068692153,13.6047076200864,13.6608638638763,15.1352268353816,..,15.1355670777565,..,..,..
United States,USA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,16.9765791341377,..,..,..,..,..,16.9765791341377,..,..
United States,USA,Improved water source (% of population with access),SH.H2O.SAFE.ZS,98.4,98.8,99,99,99,99.1,99.1,99.1,99.1,99.2,99.2,99.2
United States,USA,Improved sanitation facilities (% of population with access),SH.STA.ACSN,99.5,99.7,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100
